Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
801A_1, 801A_1, 801A_2, 801A_2, 50, 450, 0.001, 0.03, 2.059, 1.677
801A_1, 801A_1, 801A_3, 801A_3, 50, 450, 0.001, 0.03, 2.102, 1.541
801A_1, 801A_1, 801A_4, 801A_4, 50, 450, 0.001, 0.03, 1.571, 1.489
801A_1, 801A_1, 801A_5, 801A_5, 50, 450, 0.001, 0.03, 1.747, 1.336
801A_1, 801A_1, 801A_6, 801A_6, 50, 450, 0.001, 0.03, 2.901, 2.784
801A_1, 801A_1, 801A_7, 801A_7, 50, 450, 0.001, 0.03, 2.678, 1.995
801A_1, 801A_1, 801A_8, 801A_8, 50, 450, 0.001, 0.03, 2.1, 2.091
801A_1, 801A_1, VT62_1, VT62_1, 50, 450, 0.001, 0.03, 4.586, 4.214
801A_1, 801A_1, VT62_2, VT62_2, 50, 450, 0.001, 0.03, 2.953, 2.432
801A_1, 801A_1, VT62_3, VT62_3, 50, 450, 0.001, 0.03, 3.506, 2.323
801A_1, 801A_1, VT62_4, VT61_4, 50, 450, 0.001, 0.03, 4.558, 3.647
801A_1, 801A_1, VT62_5, VT62_5_HYTRON, 50, 450, 0.001, 0.03, 3.426, 2.409
801A_1, 801A_1, VT62_6, VT62_6_HYTRON, 50, 450, 0.001, 0.03, 4.009, 2.259
801A_1, 801A_1, VT62_7, VT62_7_HYTRON, 50, 450, 0.001, 0.03, 3.308, 2.203
801A_1, 801A_1, VT62_8, VT62_8_HYTRON, 50, 450, 0.001, 0.03, 3.051, 2.121
801A_2, 801A_2, 801A_3, 801A_3, 50, 450, 0.001, 0.03, 0.7828, 0.7492
801A_2, 801A_2, 801A_4, 801A_4, 50, 450, 0.001, 0.03, 0.8219, 0.4496
801A_2, 801A_2, 801A_5, 801A_5, 50, 450, 0.001, 0.03, 0.838, 0.8353
801A_2, 801A_2, 801A_6, 801A_6, 50, 450, 0.001, 0.03, 3.208, 3.185
801A_2, 801A_2, 801A_7, 801A_7, 50, 450, 0.001, 0.03, 1.309, 1.173
801A_2, 801A_2, 801A_8, 801A_8, 50, 450, 0.001, 0.03, 2.153, 1.899
801A_2, 801A_2, VT62_1, VT62_1, 50, 450, 0.001, 0.03, 4.213, 4.198
