Filename-1, Sample-1, Filename-2, Sample-2, U1_range_low (V), U1_range_high (V), I1_range_low (A), I1_range_high (A), delta-Vg (V-RMS), delta-Vg mean subtracted (V-RMS)
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_10B, ECC88_10_SIEMENS_UNIT2, 0, 90, 0, 0.02, 0.06552, 0.03343
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_11A, ECC88_11_SIEMENS_UNIT1, 0, 90, 0, 0.02, 0.1223, 0.1111
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_11B, ECC88_11_SIEMENS_UNIT2, 0, 90, 0, 0.02, 0.1548, 0.147
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_12A, ECC88_12_SIEMENS_UNIT1, 0, 90, 0, 0.02, 0.1427, 0.1345
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_12B, ECC88_12_SIEMENS_UNIT2, 0, 90, 0, 0.02, 0.1277, 0.08528
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_13A, ECC88_13_SIEMENS_UNIT1, 0, 90, 0, 0.02, 0.03893, 0.03618
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_13B, ECC88_13_SIEMENS_UNIT2, 0, 90, 0, 0.02, 0.06497, 0.05945
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_14A, ECC88_14_JJ_UNIT1, 0, 90, 0, 0.02, 0.2718, 0.1903
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_14B, ECC88_14_JJ_UNIT2, 0, 90, 0, 0.02, 0.2858, 0.2576
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_15A, ECC88_15_JJ_UNIT1, 0, 90, 0, 0.02, 0.2927, 0.1955
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_15B, ECC88_15_JJ_UNIT2, 0, 90, 0, 0.02, 0.5515, 0.4804
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_16A, ECC88_16_JJ_UNIT1, 0, 90, 0, 0.02, 0.2752, 0.1809
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_16B, ECC88_16_JJ_UNIT2, 0, 90, 0, 0.02, 0.2802, 0.1954
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_17A, ECC88_17_JJ_UNIT1, 0, 90, 0, 0.02, 0.2055, 0.1836
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_17B, ECC88_17_JJ_UNIT2, 0, 90, 0, 0.02, 0.2533, 0.1981
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_18A, ECC88_18_MULLARD_UNIT1, 0, 90, 0, 0.02, 0.6984, 0.3447
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_18B, ECC88_18_MULLARD_UNIT2, 0, 90, 0, 0.02, 0.5468, 0.1882
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_19A, ECC88_19_MULLARD_UNIT1, 0, 90, 0, 0.02, 0.4712, 0.2248
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_19B, ECC88_19_MULLARD_UNIT2, 0, 90, 0, 0.02, 0.5864, 0.3219
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_1A, ECC88_1_AMPEREX_UNIT1, 0, 90, 0, 0.02, 0.173, 0.1319
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_20A, ECC88_20_MULLARD_UNIT1, 0, 90, 0, 0.02, 0.4721, 0.1757
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_20B, ECC88_20_MULLARD_UNIT2, 0, 90, 0, 0.02, 0.5726, 0.3362
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_21A, ECC88_21_MULLARD_UNIT1, 0, 90, 0, 0.02, 0.3561, 0.1951
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_21B, ECC88_21_MULLARD_UNIT2, 0, 90, 0, 0.02, 0.4015, 0.1883
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_22A, ECC88_22_MULLARD_UNIT1, 0, 90, 0, 0.02, 0.509, 0.1908
ECC88_10A, ECC88_10_SIEMENS_UNIT1, ECC88_22B, ECC88_22_MULLARD_UNIT2, 0, 90, 0, 0.02, 0.6209, 0.1996
